id,name,preferred_common_name,rank,iconic_taxon_name,ancestor_ids,photo_url
47789,Clarkia,Clarkias,genus,Plantae,"48460,47126,211194,47125,47124,47791,47790",https://inaturalist-open-data.s3.amazonaws.com/photos/17563453/medium.jpeg
59584,Lilium parvum,Sierra Tiger Lily,species,Plantae,"48460,47126,211194,47125,47163,47329,47328,859160,859161,48928,1542815",https://inaturalist-open-data.s3.amazonaws.com/photos/408597843/medium.jpeg
86400,Ammopelmatus,North American Jerusalem Crickets,genus,Insecta,"48460,1,47120,372739,47158,184884,47651,132694,488701,53896,53897,345039,1228213",https://static.inaturalist.org/photos/29900841/medium.jpg
741865,Hygrophorus siccipes,Coppery Waxcap,species,Fungi,"48460,47170,47169,492000,50814,1094814,47167,1128302,51870,1135223,1135224,63108,1135949,1135960,1135970",https://inaturalist-open-data.s3.amazonaws.com/photos/4054748/medium.jpg
52118,Pterospora andromedea,woodland pinedrops,species,Plantae,"48460,47126,211194,47125,47124,47181,133387,451956,52117",https://inaturalist-open-data.s3.amazonaws.com/photos/113501396/medium.jpeg
461542,Astereae,asters and allies,tribe,Plantae,"48460,47126,211194,47125,47124,47605,47604,632790",https://inaturalist-open-data.s3.amazonaws.com/photos/15416442/medium.jpg
62239,Pyrola picta,white-veined wintergreen,species,Plantae,"48460,47126,211194,47125,47124,47181,133387,451956,60369,1614111",https://inaturalist-open-data.s3.amazonaws.com/photos/2183784/medium.JPG
46259,Tamiasciurus douglasii,Douglas' Squirrel,species,Mammalia,"48460,1,2,355675,40151,848317,848320,848323,43698,129411,45933,332614,339575,46257",https://static.inaturalist.org/photos/71588010/medium.jpg
56864,Calycadenia,,genus,Plantae,"48460,47126,211194,47125,47124,47605,47604,632790,179978",https://inaturalist-open-data.s3.amazonaws.com/photos/16503/medium.jpg
797562,Sceloporinae,Sceloporine Lizards,subfamily,Reptilia,"48460,1,2,355675,26036,26172,85552,1563907,1567779,36074",https://inaturalist-open-data.s3.amazonaws.com/photos/12960464/medium.jpg
118157,Suillus tomentosus,Blue-staining Slippery Jack,species,Fungi,"48460,47170,47169,492000,50814,1094814,48427,1432580,53489,53490,1634721,1634738",https://inaturalist-open-data.s3.amazonaws.com/photos/307745970/medium.jpg
53905,Mantis religiosa,European Mantis,species,Insecta,"48460,1,47120,372739,47158,184884,48112,1097011,1097013,1097016,48111,570063,56564",https://inaturalist-open-data.s3.amazonaws.com/photos/180063407/medium.jpg
77833,Lonicera conjugialis,purpleflower honeysuckle,species,Plantae,"48460,47126,211194,47125,47124,48526,48527,345605,51874,1072552,1072556,1072555",https://inaturalist-open-data.s3.amazonaws.com/photos/204754/medium.jpg
47604,Asteraceae,"sunflowers, daisies, asters, and allies",family,Plantae,"48460,47126,211194,47125,47124,47605",https://inaturalist-open-data.s3.amazonaws.com/photos/72961012/medium.jpg
79470,Vaccinium cespitosum,dwarf bilberry,species,Plantae,"48460,47126,211194,47125,47124,47181,133387,634914,919967,48353,1560087",https://inaturalist-open-data.s3.amazonaws.com/photos/233315686/medium.jpeg
48939,Eriogonum,wild buckwheats,genus,Plantae,"48460,47126,211194,47125,47124,47366,48382,922207,922210",https://inaturalist-open-data.s3.amazonaws.com/photos/58619859/medium.jpeg
42051,Canis latrans,Coyote,species,Mammalia,"48460,1,2,355675,40151,848317,848320,848324,41573,42043,42044",https://static.inaturalist.org/photos/10963085/medium.jpg
53316,Verbena lasiostachys,western vervain,species,Plantae,"48460,47126,211194,47125,47124,48151,49194,936160,53317",https://static.inaturalist.org/photos/391815417/medium.jpeg
64040,Pinus lambertiana,sugar pine,species,Plantae,"48460,47126,211194,136329,47375,47562,1456301,47561,790730,790765,1606836",https://inaturalist-open-data.s3.amazonaws.com/photos/19561/medium.jpg
47746,Equisetum,horsetails,genus,Plantae,"48460,47126,211194,121943,764793,47748,47747",https://inaturalist-open-data.s3.amazonaws.com/photos/67590226/medium.jpg
48257,Pseudotsuga,Douglas-firs,genus,Plantae,"48460,47126,211194,136329,47375,47562,1456301",https://inaturalist-open-data.s3.amazonaws.com/photos/11770154/medium.jpeg
27137,Coluber constrictor,North American Racer,species,Reptilia,"48460,1,2,355675,26036,26172,85553,26504,797520,27030",https://static.inaturalist.org/photos/105329578/medium.jpg
